Key,Title,Combined
T001081,A-U alle economische activiteiten,T001081 - A-U alle economische activiteiten
300035,A-F Landbouw en nijverheid,300035 - A-F Landbouw en nijverheid
301000,"A Landbouw, bosbouw en visserij","301000 - A Landbouw, bosbouw en visserij"
300003,B-F Nijverheid en energie,300003 - B-F Nijverheid en energie
300002,B-E Nijverheid (geen bouw) en energie,300002 - B-E Nijverheid (geen bouw) en energie
305700,B Delfstoffenwinning,305700 - B Delfstoffenwinning
307500,C Industrie,307500 - C Industrie
346600,D Energievoorziening,346600 - D Energievoorziening
348000,E Waterbedrijven en afvalbeheer,348000 - E Waterbedrijven en afvalbeheer
350000,F Bouwnijverheid,350000 - F Bouwnijverheid
300007,G-N Commerciële dienstverlening,300007 - G-N Commerciële dienstverlening
300006,"G-I Handel, vervoer en horeca","300006 - G-I Handel, vervoer en horeca"
354200,G Handel,354200 - G Handel
383100,H Vervoer en opslag,383100 - H Vervoer en opslag
389100,I Horeca,389100 - I Horeca
391600,J Informatie en communicatie,391600 - J Informatie en communicatie
396300,K Financiële dienstverlening,396300 - K Financiële dienstverlening
402000,L Verhuur en handel van onroerend goed,402000 - L Verhuur en handel van onroerend goed
300010,M-N Zakelijke dienstverlening,300010 - M-N Zakelijke dienstverlening
403300,M Specialistische zakelijke diensten,403300 - M Specialistische zakelijke diensten
410200,N Verhuur en overige zakelijke diensten,410200 - N Verhuur en overige zakelijke diensten
300013,O-U Niet-commerciële dienstverlening,300013 - O-U Niet-commerciële dienstverlening
300012,O-Q Overheid en zorg,300012 - O-Q Overheid en zorg
417400,O Openbaar bestuur en overheidsdiensten,417400 - O Openbaar bestuur en overheidsdiensten
419000,P Onderwijs,419000 - P Onderwijs
422400,Q Gezondheids- en welzijnszorg,422400 - Q Gezondheids- en welzijnszorg
300014,"R-U Cultuur, recreatie, overige diensten","300014 - R-U Cultuur, recreatie, overige diensten"
428100,"R Cultuur, sport en recreatie","428100 - R Cultuur, sport en recreatie"
435500,S Overige dienstverlening,435500 - S Overige dienstverlening
